gene,sample_id,expr,copies,purity,stroma,sf,eup_dev_cancer,eup_equiv_cancer
BRAF,TCGA-50-5932-01A,1121,1,0.83,0.17,1.16108184253061,-0.5,0.5
BRAF,TCGA-49-6742-01A,474,2,0.74,0.26,0.765952815549292,0.0,1.0
BRAF,TCGA-44-6147-01A,2347,3,0.79,0.21,1.19619198445212,0.5,1.5
BRAF,TCGA-55-6979-01A,902,2,0.34,0.66,0.826869827254621,0.0,1.0
BRAF,TCGA-50-5931-01A,929,3,0.83,0.17,0.967764864208239,0.5,1.5
BRAF,TCGA-38-4626-01A,2808,2,0.35,0.65,2.40884881679097,0.0,1.0
BRAF,TCGA-91-6835-01A,2130,3,0.38,0.62,1.32378490528122,0.5,1.5
BRAF,TCGA-55-6970-01A,1908,3,0.67,0.33,1.59898395416196,0.5,1.5
BRAF,TCGA-55-6969-01A,3107,4,0.45,0.55,1.71046669476761,1.0,2.0
BRAF,TCGA-91-6831-01A,1121,3,0.66,0.34,0.871004340268729,0.5,1.5
BRAF,TCGA-50-5936-01A,629,2,0.68,0.32,0.677426343960693,0.0,1.0
BRAF,TCGA-44-6776-01A,916,2,0.82,0.18,0.699637624269527,0.0,1.0
BRAF,TCGA-55-6978-01A,1972,2,0.41,0.59,1.65032552723528,0.0,1.0
BRAF,TCGA-49-6744-01A,1654,2,0.41,0.59,1.13812102483926,0.0,1.0
BRAF,TCGA-55-6982-01A,618,2,0.56,0.44,0.650195966176223,0.0,1.0
BRAF,TCGA-44-3396-01A,2658,4,0.4,0.6,2.61004395395371,1.0,2.0
BRAF,TCGA-49-6761-01A,993,3,0.6,0.4,0.728584480073931,0.5,1.5
BRAF,TCGA-44-6778-01A,1522,4,0.42,0.58,0.97068372228558,1.0,2.0
BRAF,TCGA-44-6145-01A,1470,3,0.45,0.55,0.846943028123078,0.5,1.5
BRAF,TCGA-50-6595-01A,769,3,0.45,0.55,0.770723449647256,0.5,1.5
BRAF,TCGA-44-6148-01A,1438,2,0.75,0.25,1.14281467091919,0.0,1.0
BRAF,TCGA-91-6828-01A,1315,1,0.51,0.49,0.639833078713646,-0.5,0.5
BRAF,TCGA-91-6849-01A,741,2,0.67,0.33,0.558386815047232,0.0,1.0
BRAF,TCGA-91-6847-01A,2040,5,0.92,0.08,1.66019492607486,1.5,2.5
BRAF,TCGA-44-2662-01A,2044,6,0.41,0.59,1.6948411899526,2.0,3.0
BRAF,TCGA-55-6985-01A,1177,6,0.52,0.48,0.811211994099396,2.0,3.0
BRAF,TCGA-73-4676-01A,1290,4,0.73,0.27,0.925472655987063,1.0,2.0
BRAF,TCGA-50-5939-01A,857,2,0.5,0.5,0.722910947201736,0.0,1.0
BRAF,TCGA-50-5935-01A,1759,4,0.74,0.26,0.85149163773885,1.0,2.0
BRAF,TCGA-55-6981-01A,1221,8,0.56,0.44,0.59897857192499,3.0,4.0
BRAF,TCGA-91-6829-01A,1648,5,0.63,0.37,1.07691043774671,1.5,2.5
BRAF,TCGA-44-6777-01A,1851,5,0.52,0.48,0.936999546299619,1.5,2.5
BRAF,TCGA-91-6836-01A,3228,6,0.8,0.2,1.10133559601912,2.0,3.0
BRAF,TCGA-55-6986-01A,834,2,0.68,0.32,0.765299419441761,0.0,1.0
BRAF,TCGA-38-4625-01A,2306,4,0.67,0.33,2.24636594390233,1.0,2.0
BRAF,TCGA-50-5933-01A,1679,3,0.44,0.56,0.949940361135037,0.5,1.5
BRAF,TCGA-38-4632-01A,605,6,0.56,0.44,0.645675282286975,2.0,3.0
BRAF,TCGA-55-6971-01A,825,4,0.38,0.62,0.735336138637824,1.0,2.0
BRAF,TCGA-55-6975-01A,648,2,0.6,0.4,0.623288934360549,0.0,1.0
BRAF,TCGA-49-6743-01A,1417,3,0.57,0.43,1.01300412460543,0.5,1.5
BRAF,TCGA-49-4512-01A,1015,7,0.67,0.33,0.7792270819609,2.5,3.5
BRAF,TCGA-55-6972-01A,639,5,0.9,0.1,0.544851712410974,1.5,2.5
BRAF,TCGA-38-4627-01A,1206,2,0.49,0.51,1.4401812041006,0.0,1.0
BRAF,TCGA-44-2655-01A,1835,2,0.58,0.42,2.14052779618171,0.0,1.0
BRAF,TCGA-49-6745-01A,1830,4,0.55,0.45,1.01607559704112,1.0,2.0
